,genes_0,genes_1,x,y,cluster
176234,21956.041,20112.44,20803.0,9815.0,725.0
176241,21405.346,20460.098,20797.0,9572.0,725.0
176244,21964.543,20080.537,20811.0,9556.0,725.0
176256,22105.186,20089.0,20803.0,9786.0,725.0
176264,20842.174,20906.277,20810.0,9683.0,725.0
176278,20085.006,22322.855,20812.0,10016.0,237.0
176309,21997.922,20246.621,20815.0,9707.0,725.0
176310,20774.87,21001.361,20818.0,9756.0,725.0
176312,20432.451,21513.918,20821.0,9987.0,725.0
176323,20454.145,21345.012,20824.0,9654.0,725.0
176334,20382.465,21506.09,20824.0,9673.0,725.0
176336,21115.62,20543.418,20833.0,9557.0,725.0
176341,21626.14,20300.066,20817.0,9594.0,725.0
176345,20522.62,21297.248,20835.0,9615.0,725.0
176346,20409.432,21593.172,20819.0,9737.0,148.0
176350,20256.564,21974.629,20822.0,10006.0,237.0
176387,21174.797,20536.898,20842.0,9786.0,725.0
176396,20099.906,22250.002,20844.0,9575.0,237.0
176401,20191.525,21943.865,20842.0,9593.0,152.0
176402,20365.46,21635.135,20841.0,9648.0,148.0
176404,20402.107,21394.848,20845.0,9682.0,725.0
176405,20466.361,21283.125,20837.0,9702.0,725.0
176406,21988.35,20523.973,20849.0,9835.0,153.0
176414,22080.559,20120.633,20848.0,9532.0,725.0
176421,20336.793,21780.281,20847.0,9627.0,237.0
176422,20369.32,21651.812,20846.0,9762.0,148.0
176434,20207.512,22016.098,20852.0,10003.0,237.0
176452,20879.078,20869.865,20855.0,9736.0,725.0
176468,21769.715,20182.111,20860.0,9505.0,725.0
176476,20173.205,22179.89,20860.0,9555.0,237.0
176491,21122.477,20543.123,20861.0,9653.0,725.0
176499,22019.398,20130.637,20874.0,9535.0,725.0
176500,20413.137,21443.139,20874.0,9747.0,725.0
176501,20163.82,22137.408,20867.0,9775.0,237.0
176503,21506.338,20332.295,20867.0,9608.0,725.0
176504,21003.797,22462.945,20874.0,9846.0,223.0
176508,20168.703,22173.932,20871.0,9636.0,237.0
176524,21689.482,20289.99,20870.0,9581.0,725.0
176528,20319.781,21828.102,20875.0,9700.0,237.0
176531,21534.672,20289.133,20865.0,9711.0,725.0
176532,20380.303,21477.484,20876.0,10005.0,725.0
176555,20498.193,21312.77,20885.0,9501.0,725.0
176556,21655.912,20393.857,20880.0,9677.0,725.0
176558,21702.678,20239.69,20878.0,9475.0,725.0
176562,21629.936,20034.197,20873.0,9787.0,154.0
176568,20251.072,21860.896,20882.0,9565.0,237.0
176569,20199.209,22180.996,20885.0,9760.0,237.0
176577,20788.633,22325.84,20889.0,9871.0,155.0
176579,20798.135,20882.861,20892.0,9634.0,725.0
176594,21262.531,20405.121,20907.0,9734.0,725.0
176608,21521.262,20257.287,20906.0,9596.0,725.0
